year,zone,temp
1971,G.24S-44S,0.02
1971,H.44S-64S,0.16
1971,I.64S-90S,0.33
1972,A.90N-64N,-0.4
1972,B.64N-44N,-0.49
1972,C.44N-24N,-0.23
1972,D.24N-EQU,0.05
1972,F.EQU-24S,0.27
1972,G.24S-44S,0.16
1972,H.44S-64S,-0.02
1972,I.64S-90S,0.6
1973,A.90N-64N,0.21
1973,B.64N-44N,0.26
1973,C.44N-24N,0.01
1973,D.24N-EQU,0.06
1973,F.EQU-24S,0.29
1973,G.24S-44S,0.22
1973,H.44S-64S,0.07
1973,I.64S-90S,0.28
1974,A.90N-64N,-0.26
1974,B.64N-44N,-0.1
1974,C.44N-24N,-0.19
1974,D.24N-EQU,-0.24
1974,F.EQU-24S,-0.17
1974,G.24S-44S,0.22
1974,H.44S-64S,-0.09
1974,I.64S-90S,0.55
1975,A.90N-64N,0.2
1975,B.64N-44N,0.37
1975,C.44N-24N,-0.06
1975,D.24N-EQU,-0.31
1975,F.EQU-24S,-0.17
1975,G.24S-44S,0.13
1975,H.44S-64S,0.14
1975,I.64S-90S,0.22
1976,A.90N-64N,-0.05
1976,B.64N-44N,-0.33
1976,C.44N-24N,-0.28
1976,D.24N-EQU,-0.14
1976,F.EQU-24S,-0.11
1976,G.24S-44S,0.11
1976,H.44S-64S,0.22
1976,I.64S-90S,-0.37
1977,A.90N-64N,0.21
1977,B.64N-44N,0.22
1977,C.44N-24N,0.05
1977,D.24N-EQU,0.09
1977,F.EQU-24S,0.22
1977,G.24S-44S,0.21
1977,H.44S-64S,0.31
1977,I.64S-90S,0.15
1978,A.90N-64N,-0.04
1978,B.64N-44N,0
1978,C.44N-24N,-0.04
1978,D.24N-EQU,0.1
1978,F.EQU-24S,0.06
1978,G.24S-44S,0.2
1978,H.44S-64S,0.13
1978,I.64S-90S,-0.11
1979,A.90N-64N,-0.56
1979,B.64N-44N,0.06
1979,C.44N-24N,0.08
1979,D.24N-EQU,0.24
1979,F.EQU-24S,0.27
1979,G.24S-44S,0.29
1979,H.44S-64S,0.33
1979,I.64S-90S,-0.24
1980,A.90N-64N,0.34
1980,B.64N-44N,0.01
1980,C.44N-24N,0.01
1980,D.24N-EQU,0.31
1980,F.EQU-24S,0.28
1980,G.24S-44S,0.35
1980,H.44S-64S,0.37
1980,I.64S-90S,0.96
1981,A.90N-64N,1.32
1981,B.64N-44N,0.78
1981,C.44N-24N,0.08
1981,D.24N-EQU,0.21
1981,F.EQU-24S,0.15
1981,G.24S-44S,0.28
1981,H.44S-64S,0.38
1981,I.64S-90S,0.52
1982,A.90N-64N,-0.32
1982,B.64N-44N,0.07
1982,C.44N-24N,-0.08
1982,D.24N-EQU,0.24
1982,F.EQU-24S,0.29
1982,G.24S-44S,0.18
1982,H.44S-64S,0.32
1982,I.64S-90S,-0.23
1983,A.90N-64N,0.32
1983,B.64N-44N,0.67
1983,C.44N-24N,-0.06
1983,D.24N-EQU,0.29
1983,F.EQU-24S,0.57
1983,G.24S-44S,0.21
1983,H.44S-64S,0.41
1983,I.64S-90S,-0.03
1984,A.90N-64N,0.34
1984,B.64N-44N,0.08
1984,C.44N-24N,-0.12
1984,D.24N-EQU,0.07
1984,F.EQU-24S,0.29
1984,G.24S-44S,0.16
1984,H.44S-64S,0.32
1984,I.64S-90S,0.59
1985,A.90N-64N,0.31
1985,B.64N-44N,-0.27
1985,C.44N-24N,-0.01
1985,D.24N-EQU,0.03
1985,F.EQU-24S,0.15
1985,G.24S-44S,0.29
1985,H.44S-64S,0.45
1985,I.64S-90S,0.09
1986,A.90N-64N,0.04
1986,B.64N-44N,0.25
1986,C.44N-24N,0.03
1986,D.24N-EQU,0.16
1986,F.EQU-24S,0.28
1986,G.24S-44S,0.25
1986,H.44S-64S,0.25
1986,I.64S-90S,-0.04
1987,A.90N-64N,-0.26
1987,B.64N-44N,0.14
1987,C.44N-24N,0.13
1987,D.24N-EQU,0.55
1987,F.EQU-24S,0.61
1987,G.24S-44S,0.32
1987,H.44S-64S,0.25
1987,I.64S-90S,0.1
1988,A.90N-64N,0.82
1988,B.64N-44N,0.52
1988,C.44N-24N,0.22
1988,D.24N-EQU,0.33
1988,F.EQU-24S,0.44
1988,G.24S-44S,0.38
1988,H.44S-64S,0.2
1988,I.64S-90S,1.14
